LOC NO,LOC STREET,LOC CITY,LOC STATE,LOC ZIP,DBA,FEIN/SSN,LIC TEXT2 (LIC 1),CHG 1 DESC (LIC 1),CHG 1 LONG DESC (LIC 1),CYCLE CODE (LIC 2),CYCLE DESC (LIC 2),LIC TEXT1 (LIC 2),LIC TEXT2 (LIC 2),LIC TEXT4 (LIC 2),CYCLE DESC (LIC 3),LIC TEXT2 (LIC 3),CHG 1 DESC (LIC 3),CHG 1 LONG DESC (LIC 3),CYCLE CODE (LIC 4),CYCLE DESC (LIC 4),LIC TEXT1 (LIC 4),LIC TEXT2 (LIC 4),LIC TEXT4 (LIC 4),CYCLE CODE (LIC 5),CYCLE DESC (LIC 5),LIC TEXT1 (LIC 5),LIC TEXT2 (LIC 5),QTY STAT CD (LIC 5)
670,JACKSON,JOLIET,IL,60432,LOS TRES HERMANOS,36-3837762,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS V VIDEO GAMING,CLASS V,CLASS V VIDEO GAMING,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M VIDEO POKER ONLY,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,SEAT
117,CENTER,JOLIET,IL,60435,O'CHARLEY'S IRISH PUB,36-3293144,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS V VIDEO GAMING,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS G OUTDOOR/GRANDFATHERED,
3340,MALL LOOP,JOLIET,IL,60431,CINEMARK 1044,75-2206284,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,AMUSEMENT- MOVIE THEATER,MV THTR,AMUSEMENT - MOVIE THEATER LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,AMUSEMENT,
868,COLLINS,JOLIET,IL,60432,COLLINS ST AUTO PARTS CO,26-0891885,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES,,,,,,,,,,,,,,,
2022,ESSINGTON,JOLIET,IL,60435,DARCY BUICK GMC,36-3781265,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,,BUSINESS LICENSE,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,
809,PLAINFIELD,JOLIET,IL,60435,CVS PHARMACY 2936,37-1414552,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,
308,WESTERN,JOLIET,IL,60435,WESTERN FOODS,27-1035918,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,NATIONAL ENTERTAINMENT NETWORK,84-1093721,COIN VENDING-BULK,COIN BULK,COIN VENDING - BULK LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING AMUSEMENT,,,,,,,,,,,,,,,
1700,JEFFERSON,JOLIET,IL,60435,DAIRY QUEEN,36-4427686,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,CTM GROUP,01-05722964,COIN VENDING AMUSEMENT,CN AMSNT,COIN VENDING - AMUSEMENT LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,GAMING & ENTERTAINMENT MNGMT - IL LLC,27-3941891,COIN VENDING-VIDEO POKER,COIN PKR,COIN VENDING - VIDEO POKER LICENSE,,,,,,,,,,,,,,,,,,,
1410,WASHINGTON,JOLIET,IL,60433,DAIRY QUEEN,20-8497941,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,TIMM ELECTRIC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
2219,JEFFERSON,JOLIET,IL,60435,STAR INN,26-3300151,HOTEL/MOTEL,HOTEL 2,HOTEL/MOTEL LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,HOTEL/MOTEL,,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,
229,CASS,JOLIET,IL,60432,DAN'S HOMEMADE CANDIES,20-0443396,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,GROOT INDUSTRIES,SSN,MUNICIPAL WASTE HAULER,MUN WASTE,MUNICIPAL WASTE HAULER LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,WASTE MANAGEMENT OF ILLINOIS,36-2660859,MUNICIPAL WASTE HAULER,MUN WASTE,MUNICIPAL WASTE HAULER LICENSE,,,,,,,,,,,,,,,,,,,
7158,CATON FARM,PLAINFIELD,IL,60586,SUPER TACO,46-3123215,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1012,RICHMOND,JOLIET,IL,60435,SELLERS & SONS ELECTRICAL CONTRACTORS, ,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,SHAMROCK ELECTRIC CO INC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
807,EWING,JOLIET,IL,60432,JONES ELECTRIC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,ILLINOIS ELECTRICAL SERVICES INC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,GRATE SIGNS INC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,PERM,INSPECTION LICENSE,PERMITTING,SIGN ERECTOR,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,ELLIOTT ELECTRIC INC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,DRIVAS ELECTRIC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,CLENNON ELECTRIC INC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,CARDINAL ELECTRIC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
3000,PLAINFIELD,JOLIET,IL,60435,DIAMANDS FAMILY RESTAURANT,36-3612060,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL
1323,BASSETT,JOLIET,IL,60431,LEACH HOMES,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,*UNKNOWN*,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,VITAL SIGNS USA INC,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,AURORA SIGN CO,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,FRITZ E-Z SIGN CO,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
4708,CATON FARM,PLAINFIELD,IL,60586,DUNKIN DONUTS,26-0391953,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
3340,MALL LOOP,JOLIET,IL,60431,T-MOBILE 522899-085,91-1973799,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,CNC GRAPHICS LTD,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,ASI SIGNAGE INNOVATIONS,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,LAMAR ADVERTISING,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
400,CHICAGO,JOLIET,IL,60436,DUNKIN DONUTS 344303,20-8592458,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
2401,CHICAGO,JOLIET,IL,60436,RT 66 FOOD N FUEL,46-2618705,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,GAS STATION,GAS STATN,GAS STATION LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,HOSE
0,OUT OF AREA,,,,DOYLE SIGNS INC,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,EXPRESS SIGNS & LIGHTING MAINTENANCE,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,FASTSIGNS,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
3011,PLAINFIELD,JOLIET,IL,60435,DUNKIN DONUTS BASKIN ROBBINS 336665,81-0614647,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,LANDMARK SIGN GROUP INC,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,NORTH AMERICAN SIGNS INC,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,OLYMPIC SIGNS INC,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
20,LARKIN,JOLIET,IL,60436,DUNKIN DONUTS BASKIN ROBBINS 304027,36-4075736,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1107,ESSINGTON,JOLIET,IL,60435,SIGN A RAMA,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,SPIRIT HALLOWEEN SUPERSTORES,75-3052377,VENDOR OTHER,VNDR OTHER,VENDOR - OTHER LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,SOUTH WATER SIGNS LLC,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,VAN BRUGGEN SIGNS INC,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
1201,BROADWAY,JOLIET,IL,60435,GREG SIGNS,,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,EXPERT PLUMBING HEATING AND ELECTRIC,,HVAC,HVAC LICEN,HVAC LICENSE,,,,,,,,,,,,,,,,,,,
617,JACKSON,JOLIET,IL,60432,DONA CONCHA BAKERY,46-1810552,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1301,HERKIMER,JOLIET,IL,60432,SPEEDWAY AUTO PARTS,36-2882150,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,
612,WATER,JOLIET,IL,60436,ANDY & LAURIE VENDING,SSN,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,
1224,RICHARDS,JOLIET,IL,60433,FAMILY DOLLAR  28166,56-2056614,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,,,,,,,,
502,OHIO,JOLIET,IL,60432,ECOMFORT HEATING & AIR CONDITIONING,,HVAC,HVAC LICEN,HVAC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,AIR SOLUTION SYSTEMS,,HVAC,HVAC LICEN,HVAC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,MIDWEST CLIMATE CONTROL,,HVAC,HVAC LICEN,HVAC LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,ACDC PLUS,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
6,MCDONOUGH,JOLIET,IL,60436,BP - BADY FUEL,46-2519604,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,GAS STATION,GAS STATN,GAS STATION LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,HOSE
1861,TERRY,JOLIET,IL,60436,QUALAWASH 286,27-0683851,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,
1506,JEFFERSON,JOLIET,IL,60435,YOUR CHOICE AUTO SALES,45-3908806,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,PERM,INSPECTION LICENSE,PERMITTING,SIGN ERECTOR,,BUSINESS LICENSE,PAINT SALES/SHOP,PNTSL/SHP1,PAINT SALE/SHOP LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,
500,COLLINS,JOLIET,IL,60432,SUPERMERCADO CASA BLANCA,36-4447479,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,DJC HEATING & COOLING,,HVAC,HVAC LICEN,HVAC LICENSE,,,,,,,,,,,,,,,,,,,
158,CHICAGO,JOLIET,IL,60432,TIN ROOF,46-2798336,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,SEAT
700,JEFFERSON,JOLIET,IL,60435,TAQUERIA EL ZARAPE,46-3635591,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1609,JEFFERSON,JOLIET,IL,60435,LONGSHOTS,46-2616324,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS V VIDEO GAMING,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,
2212,ESSINGTON,JOLIET,IL,60435,MCDONALD'S 19338,46-3376690,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1555,BROADWAY,JOLIET,IL,60435,MCDONALD'S 4531,27-2504847,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
700,HERKIMER,JOLIET,IL,60432,AARON AUTO GLASS,45-40451707,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,
1013,COLLINS,JOLIET,IL,60432,AZTECA DE ORO,36-4055494,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,
905,PLAINFIELD,JOLIET,IL,60435,RT 30 LAUNDROMAT,20-3887975,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,
2401,CHICAGO,JOLIET,IL,60436,DUNKIN DONUTS,46-3020433,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1801,RT 59,PLAINFIELD,IL,60586,NASCAR CAR WASH,90-0725915,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,
2401,CHICAGO,JOLIET,IL,60436,POP'S BEEF,46-3191286,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
2409,MCDONOUGH,JOLIET,IL,60436,JB LAND INC,20-2242307,RECYCLING AGENT,RECYCLING,RECYCLING AGENT LICENSE,,,,,,,,,,,,,,,,,,,
7162,CATON FARM,PLAINFIELD,IL,60586,MCBRIDE'S PUB & GRILLE,45-2551597,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS V VIDEO GAMING,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,
2771,BLACK,JOLIET,IL,60435,HAMMER'S SPORTS BAR & GRILL,27-1218197,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS V VIDEO GAMING,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,
824,COLLINS,JOLIET,IL,60432,COLLINS ST LAUNDROMAT,26-0891885,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,
212,PAGE,JOLIET,IL,60432,BERLINSKY SCRAP,36-0798313,RECYCLING AGENT,RECYCLING,RECYCLING AGENT LICENSE,,,,,,,,,,,,,,,,,,,
350,HOUBOLT,JOLIET,IL,60431,CARING HANDS BY KRIS,SSN,MASSAGE SPA,MSSG SPA,MASSAGE SPA LICENSE,,,,,,,,,,,,,,,,,,,
3795,CENTERPOINT,ELWOOD,IL,60421,THE PADDOCK CLUBHOUSE,UNKNOWN,CLASS B PREMISES,CLASS B,CLASS B PREMISES,,,,,,,,,,,,,,,,,,,
4706,CATON FARM,PLAINFIELD,IL,60586,JERSEY MIKE'S SUBS,46-2919060,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1233,WASHINGTON,JOLIET,IL,60433,CR TOWING & RECOVERY,45-3787790,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,,,,,,,,,,,,,,
1530,COMMERCE,JOLIET,IL,60431,HEROES WEST SPORTS GRILL,34-2057549,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS V VIDEO GAMING,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS Z OUTDOOR/BEER GRD FULL,
3340,MALL LOOP,JOLIET,IL,60431,JARED JEWELRY BOUTIQUE 2554,52-0964503,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,
1415,PLAINFIELD,JOLIET,IL,60435,MICKEY'S ONE STOP,36-2679139,GAS STATION,GAS STATN,GAS STATION LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,BUSINESS LICENSE,GAS STATION,GAS STATN,GAS STATION LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING AMUSEMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,
11,3RD,JOLIET,IL,60433,ACE IRON & METALS INC,36-2786077,RECYCLING AGENT,RECYCLING,RECYCLING AGENT LICENSE,,,,,,,,,,,,,,,,,,,
