"","LOC NO","LOC STREET","LOC CITY","LOC STATE","LOC ZIP","DBA","FEIN/SSN","LIC TEXT2 (LIC 1)","CHG 1 DESC (LIC 1)","CHG 1 LONG DESC (LIC 1)","CYCLE CODE (LIC 2)","CYCLE DESC (LIC 2)","LIC TEXT1 (LIC 2)","LIC TEXT2 (LIC 2)","LIC TEXT4 (LIC 2)","CYCLE DESC (LIC 3)","LIC TEXT2 (LIC 3)","CHG 1 DESC (LIC 3)","CHG 1 LONG DESC (LIC 3)","CYCLE CODE (LIC 4)","CYCLE DESC (LIC 4)","LIC TEXT1 (LIC 4)","LIC TEXT2 (LIC 4)","LIC TEXT4 (LIC 4)","CYCLE CODE (LIC 5)","CYCLE DESC (LIC 5)","LIC TEXT1 (LIC 5)","LIC TEXT2 (LIC 5)","QTY STAT CD (LIC 5)","address...30","lon","lat","address...33"
"595",3250,"CHICAGOLAND","JOLIET","IL",60431,"CHUCK E CHEESE'S 678","48-0905805","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","AMUSEMENT",NA,"3250 CHICAGOLAND JOLIET IL 60431",-88.164141,41.585101,"3250 chicagoland cir, joliet, il 60431, usa"
"596",2600,"JEFFERSON","JOLIET","IL",60435,"BABE'S HOT DOGS","36-3904595","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M VIDEO POKER ONLY",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","2600 JEFFERSON JOLIET IL 60435",-88.1470943,41.5216656,"2600 w jefferson st, joliet, il 60436, usa"
"597",2022,"JEFFERSON","JOLIET","IL",60435,"OLD FASHIONED PANCAKE HOUSE","36-3597299","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL","CLASS E","CLASS E RESTAURANT OR HOTEL","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","2022 JEFFERSON JOLIET IL 60435",-88.1323034,41.5220517,"2022 w jefferson st, joliet, il 60435, usa"
"598",205,"CLINTON","JOLIET","IL",60432,"CHERLYNNE'S CHATEAU","27-1010138","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","205 CLINTON JOLIET IL 60432",-88.0768313,41.5271511,"205 e clinton st, joliet, il 60432, usa"
"599",17,"CENTER","JOLIET","IL",60436,"PATRICK C HALEY MANSION","36-4196544","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT","CLASS M","CLASS M MUSIC/ENTERTAINMENT","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","17 CENTER JOLIET IL 60436",-88.0916486,41.522333,"17 s center st, joliet, il 60436, usa"
"600",35,"CASS","JOLIET","IL",60432,"JUDGE'S BAR","45-4460622","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS H EXTRA HOUR",NA,"35 CASS JOLIET IL 60432",-88.0804592,41.528068,"35 e cass st, joliet, il 60432, usa"
"601",15,"RICHARDS","JOLIET","IL",60433,"JACOB HENRY MANSION ESTATE","36-2742836","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT","CLASS M","CLASS M MUSIC/ENTERTAINMENT","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL",NA,"15 RICHARDS JOLIET IL 60433",-88.0748839,41.5227343,"15 richards st, joliet, il 60433, usa"
"602",601,"EASTERN","JOLIET","IL",60432,"MARISCOS LA LAGUNA","20-2561258","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT","CLASS M","CLASS M MUSIC/ENTERTAINMENT","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","601 EASTERN JOLIET IL 60432",-88.0753233,41.5354967,"601 n eastern ave, joliet, il 60432, usa"
"603",509,"CHICAGO","JOLIET","IL",60432,"PUERTO ESCONDIDO","27-2628250","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT","CLASS M","CLASS M MUSIC/ENTERTAINMENT","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","509 CHICAGO JOLIET IL 60432",-88.0820419,41.5336965,"509 n chicago st, joliet, il 60432, usa"
"604",457,"SCOTT","JOLIET","IL",60432,"STEFANICH RESTAURANT","36-4104096","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS O OUTDOOR/BEER GRD EARLY",NA,"LIQUOR LICENSE","CLASS M ENTERTAINMENT/VP","CL M EN/VP","CLASS M ENTERTAINMENT/VP","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS H EXTRA HOUR",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL",NA,"457 SCOTT JOLIET IL 60432",-88.0806487,41.5328343,"457 n scott st, joliet, il 60432, usa"
"605",500,"CASS","JOLIET","IL",60432,"TAQUERIAS ATOTONILCO","26-3547130","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL","CLASS E","CLASS E RESTAURANT OR HOTEL","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","500 CASS JOLIET IL 60432",-88.0698065,41.5276583,"500 e cass st, joliet, il 60432, usa"
"606",808,"JEFFERSON","JOLIET","IL",60435,"TRUTH RESTAURANT","30-0394685","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT","CLASS M","CLASS M MUSIC/ENTERTAINMENT","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","808 JEFFERSON JOLIET IL 60435",-88.1014094,41.5231088,"808 w jefferson st, joliet, il 60436, usa"
"607",500,"WILCOX","JOLIET","IL",60435,"UNIVERSITY OF ST FRANCIS",NA,"CLASS E RESTAURANT OR HOTEL","CLASS E","CLASS E RESTAURANT OR HOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500 WILCOX JOLIET IL 60435",-88.0970978,41.5333799,"500 wilcox st, joliet, il 60435, usa"
"608",7174,"CATON FARM","PLAINFIELD","IL",60586,"FRANCO'S PIZZA","26-3595165","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"7174 CATON FARM PLAINFIELD IL 60586",-88.2577725,41.563988,"7174 caton farm rd, plainfield, il 60586, usa"
"609",1120,"RICHARDS","JOLIET","IL",60433,"CENTRAL CLEANERS","20-1265923","DRY CLEANER","DRY CLEANR","DRY CLEANER LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","COIN VENDING-FOOD/SODA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1120 RICHARDS JOLIET IL 60433",-88.0708617,41.5030045,"1120 richards st, joliet, il 60433, usa"
"610",324,"COLLINS","JOLIET","IL",60432,"LA VILLA RESTAURANT","26-3830346","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","324 COLLINS JOLIET IL 60432",-88.0721546,41.5309952,"324 collins st, joliet, il 60432, usa"
"611",510,"CHICAGO","JOLIET","IL",60432,"BEACON CLUB","36-3350444","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS F CLUB","CLASS F","CLASS F CLUBS","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","510 CHICAGO JOLIET IL 60432",-88.0814694,41.533765,"510 n chicago st, joliet, il 60432, usa"
"612",1511,"RIVERBOAT CENTER","JOLIET","IL",60431,"CRACKER BARREL OLD COUNTRY STORE 235","88-0373817","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"1511 RIVERBOAT CENTER JOLIET IL 60431",-88.1677857,41.4940028,"1511 riverboat center dr, joliet, il 60431, usa"
"613",2005,"ESSINGTON","JOLIET","IL",60435,"QUALITY CLEANERS","SSN","DRY CLEANER","DRY CLEANR","DRY CLEANER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005 ESSINGTON JOLIET IL 60435",-88.162213,41.558601,"2005 essington rd, joliet, il 60435, usa"
"614",210,"SPRINGFIELD","JOLIET","IL",60435,"PRESENCE VILLA FRANCISCAN","37-1127787","NURSING HOMES & SHELTERED CARE","NRSNGHOME","NURSING HOMES & SHELTERED LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"210 SPRINGFIELD JOLIET IL 60435",-88.1368403,41.5255207,"210 springfield ave, joliet, il 60435, usa"
"615",2130,"JEFFERSON","JOLIET","IL",60435,"BASINGER'S MARYCREST PHARMACY","36-3488554","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2130 JEFFERSON JOLIET IL 60435",-88.1340953,41.5211049,"2130 w jefferson st, joliet, il 60435, usa"
"616",925,"JEFFERSON","JOLIET","IL",60435,"BABAS FAMOUS STEAK AND LEMONADE","26-0462576","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"925 JEFFERSON JOLIET IL 60435",-88.105072,41.5234032,"925 w jefferson st, joliet, il 60435, usa"
"617",715,"JEFFERSON","JOLIET","IL",60435,"CENTRAL CLEANERS 2","20-1265923","DRY CLEANER","DRY CLEANR","DRY CLEANER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"715 JEFFERSON JOLIET IL 60435",-88.099826,41.524078,"715 w jefferson st, joliet, il 60435, usa"
"618",1866,"JEFFERSON","JOLIET","IL",60435,"BOSTON MARKET 0565","36-4325852","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"1866 JEFFERSON JOLIET IL 60435",-88.1272051,41.5221958,"1866 w jefferson st, joliet, il 60435, usa"
"619",106,"LARKIN","JOLIET","IL",60435,"BIG APPLE JOLIET","27-4830623","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"106 LARKIN JOLIET IL 60435",-88.1240671,41.5235574,"106 n larkin ave, joliet, il 60435, usa"
"620",174,"CHICAGO","JOLIET","IL",60432,"KULA'S JEWELRY & LOAN","38-3687951","PAWN BROKER","PWN BROKER","PAWN BROKER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"174 CHICAGO JOLIET IL 60432",-88.0812875,41.5276084,"174 n chicago st, joliet, il 60432, usa"
"621",832,"PLAINFIELD","JOLIET","IL",60435,"TOWNHOUSE MOTEL","36-4289149","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"832 PLAINFIELD JOLIET IL 60435",-88.1041373,41.5392514,"832 plainfield rd, joliet, il 60435, usa"
"622",1515,"RIVERBOAT CENTER","JOLIET","IL",60431,"TOWNEPLACE SUITES JOLIET SOUTH","20-8168304","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1515 RIVERBOAT CENTER JOLIET IL 60431",-88.166757,41.4941817,"1515 riverboat center dr, joliet, il 60431, usa"
"623",1520,"COMMERCE","JOLIET","IL",60431,"COMFORT INN SOUTH JOLIET","46-1230712","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1520 COMMERCE JOLIET IL 60431",-88.1694238,41.4936773,"1520 commerce ln, joliet, il 60431, usa"
"624",413,"MEEKER","JOLIET","IL",60432,"SPANISH AMERICAN CLUB","36-2811312","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M VIDEO POKER ONLY",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS H EXTRA HOUR",NA,"413 MEEKER JOLIET IL 60432",-88.0717918,41.5407249,"413 meeker ave, joliet, il 60432, usa"
"625",3401,"MALL LOOP","JOLIET","IL",60431,"SUPER 8","20-8059482","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3401 MALL LOOP JOLIET IL 60431",-88.1674428,41.5795721,"3401 mall loop dr, joliet, il 60431, usa"
"626",2625,"INGALLS","JOLIET","IL",60435,"ST JOSEPH'S PARK AMERICAN LEGION POST","36-6207156","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS O OUTDOOR/BEER GRD EARLY",NA,"2625 INGALLS JOLIET IL 60435",-88.1482759,41.5442796,"2625 ingalls ave, joliet, il 60435, usa"
"627",1730,"MCDONOUGH","JOLIET","IL",60436,"RODEWAY INN","20-0551039","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,"BUSINESS LICENSE","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1730 MCDONOUGH JOLIET IL 60436",-88.1215502,41.514851,"1730 mcdonough st, joliet, il 60436, usa"
"628",2801,"BLACK","JOLIET","IL",60435,"STOFAN AGAZZI & COMPANY INC","36-2952605","BROKER","BROKER","BROKER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2801 BLACK JOLIET IL 60435",-88.1518965,41.5370412,"2801 black rd, joliet, il 60435, usa"
"629",767,"BLUFF","JOLIET","IL",60435,"RAVEN'S ATHLETIC CLUB","36-2526867","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS F CLUB","CLASS F","CLASS F CLUBS","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","767 BLUFF JOLIET IL 60435",-88.0839345,41.5379129,"767 n bluff st, joliet, il 60435, usa"
"630",1214,"OAKLAND","JOLIET","IL",60435,"SOUTH SIDE CIVIC CLUB","36-1800108","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS V VIDEO GAMING",NA,"LIQUOR LICENSE","CLASS M VIDEO POKER ONLY","CLASS M VP","CLASS M VIDEO POKER ONLY","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS F CLUB",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","1214 OAKLAND JOLIET IL 60435",-88.097651,41.5462847,"1214 oakland ave, joliet, il 60435, usa"
"631",25,"SPRINGFIELD","JOLIET","IL",60435,"LOYAL ORDER OF MOOSE","36-1408070","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS F CLUB","MEMB","25 SPRINGFIELD JOLIET IL 60435",-88.1380603,41.5238231,"25 springfield ave, joliet, il 60435, usa"
"632",1201,"WYOMING","JOLIET","IL",60435,"OUR LADY OF ANGELS RETIREMENT HOME","36-2486076","NURSING HOMES & SHELTERED CARE","NRSNGHOME","NURSING HOMES & SHELTERED LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1201 WYOMING JOLIET IL 60435",-88.1199103,41.5458498,"1201 wyoming ave, joliet, il 60435, usa"
"633",1314,"ROWELL","JOLIET","IL",60433,"SALEM VILLAGE NURSING & REHAB CTR","43-1823694","NURSING HOMES & SHELTERED CARE","NRSNGHOME","NURSING HOMES & SHELTERED LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1314 ROWELL JOLIET IL 60433",-88.0615516,41.5001111,"1314 rowell ave, joliet, il 60433, usa"
"634",104,"SUNSET STRIP","JOLIET","IL",60435,"DUPREE HEATING & AIR",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104 SUNSET STRIP JOLIET IL 60435",-88.1462749,41.5244432,"104 sunset strip, joliet, il 60435, usa"
"635",1511,"PLAINFIELD","JOLIET","IL",60435,"TWIN-DOR INC","36-3480617","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M ENTERTAINMENT/VP",NA,"1511 PLAINFIELD JOLIET IL 60435",-88.1189614,41.5507084,"1511 plainfield rd, joliet, il 60435, usa"
"636",3401,"HENNEPIN","JOLIET","IL",60431,"ROSEWOOD CARE CENTER OF JOLIET","20-8680246","NURSING HOMES & SHELTERED CARE","NRSNGHOME","NURSING HOMES & SHELTERED LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3401 HENNEPIN JOLIET IL 60431",-88.1673285,41.5737603,"3401 hennepin dr, joliet, il 60431, usa"
"637",1750,"MCDONOUGH","JOLIET","IL",60436,"RED ROOF INN 10071","27-4878913","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1750 MCDONOUGH JOLIET IL 60436",-88.123457,41.5142575,"1750 mcdonough st, joliet, il 60436, usa"
"638",1503,"CLEMENT","JOLIET","IL",60435,"CROATION CULTURAL CLUB","36-2546423","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","COIN VENDING - AMUSEMENT","MACHN","1503 CLEMENT JOLIET IL 60435",-88.0973267,41.5509414,"1503 clement st, joliet, il 60435, usa"
"639",700,"THEODORE","JOLIET","IL",60435,"ST JOSEPH PARK","36-2171046","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS O OUTDOOR/BEER GRD EARLY","CLASS O","CLASS O OUTDOOR/BEER GARDEN","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS F CLUB","MEMB","700 THEODORE JOLIET IL 60435",-88.0996543,41.5526572,"700 theodore st, crest hill, il 60403, usa"
"640",2224,"JEFFERSON","JOLIET","IL",60435,"O'REILLY AUTO PARTS 3400","86-0221312","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2224 JEFFERSON JOLIET IL 60435",-88.1388227,41.5218058,"2224 w jefferson st, joliet, il 60435, usa"
