LOC.NO,LOC.STREET,LOC.CITY,LOC.STATE,LOC.ZIP,BUS.NAME,DBA,SSN,BUS.PHONE,LIC.TEXT2..LIC.1.,CHG.1.DESC..LIC.1.,CHG.1.LONG.DESC..LIC.1.,CYCLE.CODE..LIC.2.,CYCLE.DESC..LIC.2.,LIC.TEXT1..LIC.2.,LIC.TEXT2..LIC.2.,LIC.TEXT4..LIC.2.,CYCLE.DESC..LIC.3.,LIC.TEXT1..LIC.3.,LIC.TEXT2..LIC.3.,CHG.1.DESC..LIC.3.,CHG.1.LONG.DESC..LIC.3.,CYCLE.CODE..LIC.4.,CYCLE.DESC..LIC.4.,LIC.TEXT1..LIC.4.,LIC.TEXT2..LIC.4.,LIC.TEXT4..LIC.4.,CYCLE.CODE..LIC.5.,CYCLE.DESC..LIC.5.,LIC.TEXT1..LIC.5.,LIC.TEXT2..LIC.5.,QTY.STAT.CD..LIC.5.,QTY.CD.DESC..LIC.5.,address,lon,lat
0,OUT OF AREA,,,NA,DELAWARE NORTH COMPANIES,GAMING & ENTERTAINMENT MNGMT - IL LLC,27-3941891,630-615-6840,COIN VENDING-VIDEO POKER,COIN PKR,COIN VENDING - VIDEO POKER LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
2219,JEFFERSON,JOLIET,IL,60435,MP HOSPITALITY,STAR INN,26-3300151,815-744-1220,HOTEL/MOTEL,HOTEL 2,HOTEL/MOTEL LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,,,,,,,,,,,,,,,,,,2219 JEFFERSON JOLIET IL,-88.13523289999999,41.5233401
2885,PLAINFIELD,JOLIET,IL,60435,"CARNAGIO ENTERPRISES, INC.",MCDONALD'S #6561,36-4100990,815-439-1045,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2885 PLAINFIELD JOLIET IL,-88.1580673,41.5775713
229,CASS,JOLIET,IL,60432,KRIKARLAND LLC,DAN'S HOMEMADE CANDIES,20-0443396,815-582-0292,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,229 CASS JOLIET IL,-88.07569900000001,41.52823799999999
0,OUT OF AREA,,,NA,GROOT INDUSTRIES INC,GROOT INDUSTRIES,UNKNOWN,708-485-0900,MUNICIPAL WASTE HAULER,MUN WASTE,MUNICIPAL WASTE HAULER LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
0,OUT OF AREA,,,NA,WASTE MANAGEMENT OF ILLINOIS INC,WASTE MANAGEMENT OF ILLINOIS,36-2660859,800-796-9696,MUNICIPAL WASTE HAULER,MUN WASTE,MUNICIPAL WASTE HAULER LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
7158,CATON FARM,PLAINFIELD,IL,60586,SUPER TACO TAMAYO INC,SUPER TACO,46-3123215,815-254-8800,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,7158 CATON FARM PLAINFIELD IL,-88.2571832,41.5637256
3000,PLAINFIELD,JOLIET,IL,60435,"DIAMANTOPOULOS, DIMITRIOS",DIAMANDS FAMILY RESTAURANT,36-3612060,815-436-1070,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,3000 PLAINFIELD JOLIET IL,-88.1613672,41.57867479999999
3000,PLAINFIELD,JOLIET,IL,60435,"DIAMANTOPOULOS, DIMITRIOS",DIAMANDS FAMILY RESTAURANT,36-3612060,815-436-1070,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,3000 PLAINFIELD JOLIET IL,-88.1613672,41.57867479999999
4708,CATON FARM,PLAINFIELD,IL,60586,OM SHREE HARI INC,DUNKIN DONUTS,26-0391953,630-945-5190,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,4708 CATON FARM PLAINFIELD IL,-88.1987315,41.5646461
3340,MALL LOOP,JOLIET,IL,60431,T-MOBILE CENTRAL LLC,T-MOBILE 522899-085,91-1973799,877-586-6762,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,,,,3340 MALL LOOP JOLIET IL,-88.1655663,41.5762899
400,CHICAGO,JOLIET,IL,60436,JOLIET SOUTH CHICAGO DONUTS INC,DUNKIN DONUTS 344303,20-8592458,630-379-1165,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,400 CHICAGO JOLIET IL,-88.08121469999999,41.5166343
2401,CHICAGO,JOLIET,IL,60436,RT 66 FOOD N FUEL,RT 66 FOOD N FUEL,46-2618705,815-724-0066,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-VIDEO POKER,,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,2401 CHICAGO JOLIET IL,-88.08053699999999,41.480253
3011,PLAINFIELD,JOLIET,IL,60435,RKR DREAMS INC,DUNKIN DONUTS BASKIN ROBBINS 336665,81-0614647,815-609-5870,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,3011 PLAINFIELD JOLIET IL,-88.160917,41.57965799999999
20,LARKIN,JOLIET,IL,60436,JAY VARAI INC,DUNKIN DONUTS BASKIN ROBBINS 304027,36-4075736,815-730-3777,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,20 LARKIN JOLIET IL,-88.12420999999999,41.5216369
617,JACKSON,JOLIET,IL,60432,DONA CONCHA  BAKERY,DONA CONCHA BAKERY,46-1810552,,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,617 JACKSON JOLIET IL,-88.065686,41.5318685
1301,HERKIMER,JOLIET,IL,60432,SPEEDWAY AUTO LTD,SPEEDWAY AUTO PARTS,36-2882150,815-726-0666,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,,,,,,,,,,,,,,,,,,1301 HERKIMER JOLIET IL,-88.07419399999999,41.548658
612,WATER,JOLIET,IL,60436,"SHELBY, ANDREW",ANDY & LAURIE VENDING,,815-726-4606,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,,,,612 WATER JOLIET IL,-88.0864952,41.5118418
1224,RICHARDS,JOLIET,IL,60433,FAMILY DOLLAR INC,FAMILY DOLLAR  28166,56-2056614,815-726-1938,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,,,,,,,,,,,1224 RICHARDS JOLIET IL,-88.07080769999999,41.5014446
6,MCDONOUGH,JOLIET,IL,60436,BADY PETROLEUM INC,BP - BADY FUEL,46-2519604,815-722-8290,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,6 MCDONOUGH JOLIET IL,-88.08193039999999,41.5162057
1861,TERRY,JOLIET,IL,60436,QUALAWASH HOLDINGS LLC,QUALAWASH 286,27-0683851,815-600-8744,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,,,,1861 TERRY JOLIET IL,-88.143424,41.486808
1506,JEFFERSON,JOLIET,IL,60435,YOUR CHOICE AUTO SALES,YOUR CHOICE AUTO SALES,45-3908806,815-725-0850,SIGN ERECTOR,SIGN ERECT,SIGN ERECTOR LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES/SHOP,,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,,,,,,,,1506 JEFFERSON JOLIET IL,-88.11832,41.5222698
500,COLLINS,JOLIET,IL,60432,CARDENAS JIMENEZ INC,SUPERMERCADO CASA BLANCA,36-4447479,815-726-2222,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,500 COLLINS JOLIET IL,-88.07233749999999,41.5338376
158,CHICAGO,JOLIET,IL,60432,158 N CHICAGO INC,TIN ROOF,46-2798336,815-727-0123,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SIDEWALK CAFE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,158 CHICAGO JOLIET IL,-88.0812692,41.5271522
158,CHICAGO,JOLIET,IL,60432,158 N CHICAGO INC,TIN ROOF,46-2798336,815-727-0123,CLASS O OUTDOOR/BEER GRD EARLY,CLASS O,CLASS O OUTDOOR/BEER GARDEN,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS E RESTAURANT OR HOTEL,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SIDEWALK CAFE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,158 CHICAGO JOLIET IL,-88.0812692,41.5271522
700,JEFFERSON,JOLIET,IL,60435,TAQUERIA EL ZARAPE INC,TAQUERIA EL ZARAPE,46-3635591,815-955-0321,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,700 JEFFERSON JOLIET IL,-88.098842200000007,41.5240266
1609,JEFFERSON,JOLIET,IL,60435,TPC LONGSHOTS INC,LONGSHOTS,46-2616324,815-729-0910,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING - VIDEO POKER,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,CLASS H,CLASS H EXTRA HOUR,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,1609 JEFFERSON JOLIET IL,-88.1211577,41.5227267
1609,JEFFERSON,JOLIET,IL,60435,TPC LONGSHOTS INC,LONGSHOTS,46-2616324,815-729-0910,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING - VIDEO POKER,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,CLASS H,CLASS H EXTRA HOUR,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL,EMPLOY,1609 JEFFERSON JOLIET IL,-88.1211577,41.5227267
2212,ESSINGTON,JOLIET,IL,60435,MCDONALD'S 19338,MCDONALD'S 19338,46-3376690,815-577-6576,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2212 ESSINGTON JOLIET IL,-88.1607966,41.5625936
1555,BROADWAY,JOLIET,IL,60435,MCDONALD'S 4531,MCDONALD'S 4531,27-2504847,815-723-8333,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,1555 BROADWAY JOLIET IL,-88.088382,41.5518168
700,HERKIMER,JOLIET,IL,60432,JOLIET AUTO GLASS INC,AARON AUTO GLASS,45-40451707,815-722-2200,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,,,,700 HERKIMER JOLIET IL,-88.0736685,41.5375637
1013,COLLINS,JOLIET,IL,60432,DUMICH INC,AZTECA DE ORO,36-4055494,630-788-0522,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,CLASS H,CLASS H EXTRA HOUR,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,1013 COLLINS JOLIET IL,-88.0732092,41.5432067
1013,COLLINS,JOLIET,IL,60432,DUMICH INC,AZTECA DE ORO,36-4055494,630-788-0522,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,CLASS H,CLASS H EXTRA HOUR,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,1013 COLLINS JOLIET IL,-88.0732092,41.5432067
905,PLAINFIELD,JOLIET,IL,60435,BPPP,RT 30 LAUNDROMAT,20-3887975,815-531-5591,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,,,,905 PLAINFIELD JOLIET IL,-88.1043347,41.5402467
2401,CHICAGO,JOLIET,IL,60436,ELLIE MAR ENTERPRISES INC,DUNKIN DONUTS,46-3020433,815-727-5400,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2401 CHICAGO JOLIET IL,-88.08053699999999,41.480253
1801,RT 59,PLAINFIELD,IL,60586,NCW JOLIET RE LLC,NASCAR CAR WASH,90-0725915,815-630-3278,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,,,,1801 RT 59 PLAINFIELD IL,-88.2026769,41.6250564
2401,CHICAGO,JOLIET,IL,60436,TRIED ENTERPRISES INC,POP'S BEEF,46-3191286,815-724-0321,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,2401 CHICAGO JOLIET IL,-88.08053699999999,41.480253
2409,MCDONOUGH,JOLIET,IL,60436,JB LAND INC,JB LAND INC,20-2242307,630-257-0858,RECYCLING AGENT,RECYCLING,RECYCLING AGENT LICENSE,,,,,,,,,,,,,,,,,,,,,,2409 MCDONOUGH JOLIET IL,-88.14215109999999,41.5155565
2400,JEFFERSON,JOLIET,IL,60435,RMH FRANCHISE HOLDINGS INC,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,46-2660696,815-254-2318,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,CLASS B,CLASS B PREMISES,,,,,,,,,,,,2400 JEFFERSON JOLIET IL,-88.14138679999999,41.5216999
7162,CATON FARM,PLAINFIELD,IL,60586,MCBRIDE'S PUB INC,MCBRIDE'S PUB & GRILLE,45-2551597,815-609-0192,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,7162 CATON FARM PLAINFIELD IL,-88.25735720000002,41.5638204
7162,CATON FARM,PLAINFIELD,IL,60586,MCBRIDE'S PUB INC,MCBRIDE'S PUB & GRILLE,45-2551597,815-609-0192,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,7162 CATON FARM PLAINFIELD IL,-88.25735720000002,41.5638204
2771,BLACK,JOLIET,IL,60435,HAMMER'S XPRESS INC,HAMMER'S SPORTS BAR & GRILL,27-1218197,815-725-4250,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,2771 BLACK JOLIET IL,-88.1498767,41.5367467
2771,BLACK,JOLIET,IL,60435,HAMMER'S XPRESS INC,HAMMER'S SPORTS BAR & GRILL,27-1218197,815-725-4250,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,,2771 BLACK JOLIET IL,-88.1498767,41.5367467
824,COLLINS,JOLIET,IL,60432,BPPP2 LLC,COLLINS ST LAUNDROMAT,26-0891885,815-531-5591,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,,,,824 COLLINS JOLIET IL,-88.0723433,41.5395326
212,PAGE,JOLIET,IL,60432,BERLINSKY SCRAP CORP,BERLINSKY SCRAP,36-0798313,815-726-4334,RECYCLING AGENT,RECYCLING,RECYCLING AGENT LICENSE,,,,,,,,,,,,,,,,,,,,,,212 PAGE JOLIET IL,-88.0587544,41.5287653
2903,SCHWEITZER,JOLIET,IL,60436,XTREME SPORTS INC,CPX SPORTS,61-148634,815-726-2800,AMUSEMENT,AMUSEMENT,AMUSEMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,MACHN,MACHINE,2903 SCHWEITZER JOLIET IL,-88.15602820000001,41.4668259
